,,2014年01月,2014年02月,2014年03月,2014年04月,2014年05月,2014年06月,2014年07月,2014年08月,2014年09月,2014年10月,2014年11月,2014年12月,2015年01月,2015年02月,2015年03月,2015年04月,2015年05月,2015年06月,2015年07月,2015年08月,2015年09月,2015年10月,2015年11月,2015年12月,2016年01月,2016年02月,2016年03月,2016年04月,2016年05月,2016年06月,2016年07月,2016年08月,2016年09月,2016年10月,2016年11月,2016年12月,2017年01月,2017年02月,2017年03月,2017年04月,2017年05月
8601-北京分公司,个人营销,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.094%,0.061%,0.091%,0.071%,0.058%,0.049%,0.042%,0.037%,0.033%,0.045%,0.041%,0.000%,0.000%,0.145%,0.305%,0.325%,0.303%,0.255%,0.295%,0.259%,0.249%,0.235%,0.212%,0.000%,0.165%,0.194%,0.205%,0.149%
8602-湖南分公司,个人营销,0.156%,0.160%,0.129%,0.134%,0.105%,0.105%,0.100%,0.096%,0.085%,0.083%,0.095%,0.111%,0.073%,0.095%,0.112%,0.103%,0.133%,0.135%,0.157%,0.140%,0.132%,0.135%,0.122%,0.122%,0.093%,0.047%,0.123%,0.137%,0.167%,0.137%,0.127%,0.129%,0.140%,0.131%,0.130%,0.140%,0.230%,0.205%,0.149%,0.230%,0.213%
8603-重庆分公司,个人营销,0.182%,0.249%,0.225%,0.191%,0.160%,0.140%,0.119%,0.103%,0.108%,0.096%,0.095%,0.086%,0.285%,0.148%,0.110%,0.083%,0.065%,0.078%,0.083%,0.076%,0.067%,0.064%,0.074%,0.077%,0.116%,0.134%,0.158%,0.130%,0.143%,0.133%,0.155%,0.161%,0.173%,0.161%,0.162%,0.164%,0.130%,0.133%,0.199%,0.212%,0.201%
8604-陕西分公司,个人营销,0.000%,0.044%,0.057%,0.085%,0.117%,0.124%,0.129%,0.122%,0.117%,0.120%,0.134%,0.151%,0.186%,0.135%,0.139%,0.104%,0.082%,0.081%,0.069%,0.059%,0.061%,0.068%,0.068%,0.079%,0.383%,0.291%,0.191%,0.167%,0.189%,0.188%,0.186%,0.162%,0.144%,0.147%,0.162%,0.179%,0.381%,0.301%,0.309%,0.248%,0.228%
8605-广东分公司,个人营销,0.105%,0.054%,0.071%,0.053%,0.062%,0.078%,0.073%,0.063%,0.067%,0.070%,0.063%,0.058%,0.091%,0.047%,0.061%,0.069%,0.081%,0.097%,0.088%,0.082%,0.077%,0.077%,0.069%,0.066%,0.058%,0.059%,0.153%,0.161%,0.149%,0.132%,0.134%,0.155%,0.185%,0.174%,0.174%,0.179%,0.100%,0.074%,0.142%,0.164%,0.150%
8606-山东分公司,个人营销,0.045%,0.086%,0.091%,0.110%,0.117%,0.124%,0.130%,0.123%,0.116%,0.110%,0.111%,0.113%,0.107%,0.097%,0.090%,0.077%,0.083%,0.086%,0.082%,0.081%,0.084%,0.094%,0.100%,0.099%,0.158%,0.152%,0.218%,0.245%,0.235%,0.226%,0.237%,0.242%,0.242%,0.237%,0.240%,0.238%,0.184%,0.194%,0.215%,0.204%,0.174%
8607-湖北分公司,个人营销,0.073%,0.038%,0.073%,0.096%,0.126%,0.122%,0.109%,0.122%,0.120%,0.107%,0.112%,0.116%,0.063%,0.097%,0.084%,0.078%,0.067%,0.070%,0.089%,0.095%,0.086%,0.088%,0.092%,0.091%,0.258%,0.131%,0.119%,0.122%,0.102%,0.110%,0.124%,0.146%,0.158%,0.165%,0.170%,0.157%,0.293%,0.272%,0.239%,0.192%,0.164%
8608-浙江分公司,个人营销,0.064%,0.082%,0.074%,0.070%,0.098%,0.092%,0.082%,0.075%,0.066%,0.065%,0.066%,0.065%,0.000%,0.027%,0.035%,0.039%,0.036%,0.026%,0.034%,0.036%,0.037%,0.055%,0.051%,0.054%,0.098%,0.100%,0.130%,0.154%,0.140%,0.153%,0.146%,0.149%,0.155%,0.149%,0.146%,0.142%,0.265%,0.232%,0.240%,0.220%,0.181%
8609-四川分公司,个人营销,0.000%,0.033%,0.042%,0.047%,0.048%,0.074%,0.078%,0.088%,0.099%,0.096%,0.091%,0.095%,0.092%,0.071%,0.077%,0.068%,0.062%,0.051%,0.049%,0.058%,0.074%,0.078%,0.082%,0.077%,0.169%,0.137%,0.156%,0.153%,0.169%,0.198%,0.194%,0.182%,0.184%,0.175%,0.165%,0.167%,0.251%,0.165%,0.106%,0.137%,0.159%
8610-安徽分公司,个人营销,0.073%,0.076%,0.086%,0.074%,0.080%,0.072%,0.077%,0.084%,0.078%,0.078%,0.082%,0.080%,0.212%,0.148%,0.158%,0.118%,0.132%,0.129%,0.117%,0.112%,0.122%,0.111%,0.100%,0.097%,0.037%,0.056%,0.076%,0.093%,0.087%,0.090%,0.093%,0.093%,0.102%,0.107%,0.109%,0.119%,0.251%,0.195%,0.188%,0.164%,0.165%
