,Year,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
,Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May
8601-Beijing Branch,Personal Sales,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.06%,0.09%,0.07%,0.06%,0.05%,0.04%,0.04%,0.03%,0.05%,0.04%,0.00%,0.00%,0.15%,0.31%,0.33%,0.30%,0.26%,0.30%,0.26%,0.25%,0.24%,0.21%,0.00%,0.17%,0.19%,0.21%,0.15%
8602-Hunan Branch,Personal Sales,0.16%,0.16%,0.13%,0.13%,0.11%,0.11%,0.10%,0.10%,0.09%,0.08%,0.10%,0.11%,0.07%,0.10%,0.11%,0.10%,0.13%,0.14%,0.16%,0.14%,0.13%,0.14%,0.12%,0.12%,0.09%,0.05%,0.12%,0.14%,0.17%,0.14%,0.13%,0.13%,0.14%,0.13%,0.13%,0.14%,0.23%,0.21%,0.15%,0.23%,0.21%
8603-Chongqing Branch,Personal Sales,0.18%,0.25%,0.23%,0.19%,0.16%,0.14%,0.12%,0.10%,0.11%,0.10%,0.10%,0.09%,0.29%,0.15%,0.11%,0.08%,0.07%,0.08%,0.08%,0.08%,0.07%,0.06%,0.07%,0.08%,0.12%,0.13%,0.16%,0.13%,0.14%,0.13%,0.16%,0.16%,0.17%,0.16%,0.16%,0.16%,0.13%,0.13%,0.20%,0.21%,0.20%
8604-Shaanxi Branch,Personal Sales,0.00%,0.04%,0.06%,0.09%,0.12%,0.12%,0.13%,0.12%,0.12%,0.12%,0.13%,0.15%,0.19%,0.14%,0.14%,0.10%,0.08%,0.08%,0.07%,0.06%,0.06%,0.07%,0.07%,0.08%,0.38%,0.29%,0.19%,0.17%,0.19%,0.19%,0.19%,0.16%,0.14%,0.15%,0.16%,0.18%,0.38%,0.30%,0.31%,0.25%,0.23%
8605-Guangdong Branch,Personal Sales,0.11%,0.05%,0.07%,0.05%,0.06%,0.08%,0.07%,0.06%,0.07%,0.07%,0.06%,0.06%,0.09%,0.05%,0.06%,0.07%,0.08%,0.10%,0.09%,0.08%,0.08%,0.08%,0.07%,0.07%,0.06%,0.06%,0.15%,0.16%,0.15%,0.13%,0.13%,0.16%,0.19%,0.17%,0.17%,0.18%,0.10%,0.07%,0.14%,0.16%,0.15%
8606-Shandong Branch,Personal Sales,0.05%,0.09%,0.09%,0.11%,0.12%,0.12%,0.13%,0.12%,0.12%,0.11%,0.11%,0.11%,0.11%,0.10%,0.09%,0.08%,0.08%,0.09%,0.08%,0.08%,0.08%,0.09%,0.10%,0.10%,0.16%,0.15%,0.22%,0.25%,0.24%,0.23%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.18%,0.19%,0.22%,0.20%,0.17%
8607-Hubei Branch,Personal Sales,0.07%,0.04%,0.07%,0.10%,0.13%,0.12%,0.11%,0.12%,0.12%,0.11%,0.11%,0.12%,0.06%,0.10%,0.08%,0.08%,0.07%,0.07%,0.09%,0.10%,0.09%,0.09%,0.09%,0.09%,0.26%,0.13%,0.12%,0.12%,0.10%,0.11%,0.12%,0.15%,0.16%,0.17%,0.17%,0.16%,0.29%,0.27%,0.24%,0.19%,0.16%
8608-Zhejiang Branch,Personal Sales,0.06%,0.08%,0.07%,0.07%,0.10%,0.09%,0.08%,0.08%,0.07%,0.07%,0.07%,0.07%,0.00%,0.03%,0.04%,0.04%,0.04%,0.03%,0.03%,0.04%,0.04%,0.06%,0.05%,0.05%,0.10%,0.10%,0.13%,0.15%,0.14%,0.15%,0.15%,0.15%,0.16%,0.15%,0.15%,0.14%,0.27%,0.23%,0.24%,0.22%,0.18%
8609-Sichuan Branch,Personal Sales,0.00%,0.03%,0.04%,0.05%,0.05%,0.07%,0.08%,0.09%,0.10%,0.10%,0.09%,0.10%,0.09%,0.07%,0.08%,0.07%,0.06%,0.05%,0.05%,0.06%,0.07%,0.08%,0.08%,0.08%,0.17%,0.14%,0.16%,0.15%,0.17%,0.20%,0.19%,0.18%,0.18%,0.18%,0.17%,0.17%,0.25%,0.17%,0.11%,0.14%,0.16%
8610-Anhui Branch,Personal Sales,0.07%,0.08%,0.09%,0.07%,0.08%,0.07%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.21%,0.15%,0.16%,0.12%,0.13%,0.13%,0.12%,0.11%,0.12%,0.11%,0.10%,0.10%,0.04%,0.06%,0.08%,0.09%,0.09%,0.09%,0.09%,0.09%,0.10%,0.11%,0.11%,0.12%,0.25%,0.20%,0.19%,0.16%,0.17%
8611-Heilongjiang Branch,Personal Sales,0.08%,0.10%,0.08%,0.10%,0.10%,0.11%,0.11%,0.11%,0.11%,0.11%,0.12%,0.12%,0.13%,0.18%,0.17%,0.15%,0.12%,0.10%,0.12%,0.13%,0.12%,0.11%,0.11%,0.10%,0.13%,0.16%,0.14%,0.15%,0.15%,0.17%,0.21%,0.23%,0.24%,0.25%,0.24%,0.22%,0.56%,0.46%,0.48%,0.50%,0.44%
8612-Jiangsu Branch,Personal Sales,0.13%,0.13%,0.16%,0.14%,0.14%,0.13%,0.13%,0.12%,0.12%,0.11%,0.10%,0.10%,0.20%,0.15%,0.10%,0.09%,0.08%,0.07%,0.07%,0.06%,0.08%,0.07%,0.08%,0.07%,0.08%,0.15%,0.13%,0.15%,0.14%,0.13%,0.17%,0.19%,0.21%,0.24%,0.24%,0.23%,0.40%,0.33%,0.33%,0.32%,0.30%
8613-Inner Mongolia Branch,Personal Sales,0.14%,0.15%,0.24%,0.29%,0.24%,0.26%,0.24%,0.24%,0.21%,0.20%,0.19%,0.18%,0.00%,0.05%,0.13%,0.15%,0.15%,0.15%,0.15%,0.15%,0.14%,0.14%,0.12%,0.13%,0.17%,0.09%,0.17%,0.21%,0.24%,0.23%,0.24%,0.23%,0.23%,0.24%,0.26%,0.27%,0.30%,0.31%,0.33%,0.31%,0.25%
8614-Yunnan Branch,Personal Sales,0.11%,0.06%,0.08%,0.07%,0.09%,0.08%,0.08%,0.08%,0.07%,0.07%,0.06%,0.05%,0.05%,0.09%,0.08%,0.10%,0.08%,0.09%,0.08%,0.08%,0.09%,0.10%,0.11%,0.11%,0.15%,0.20%,0.17%,0.19%,0.15%,0.15%,0.14%,0.17%,0.17%,0.17%,0.18%,0.20%,0.00%,0.05%,0.11%,0.12%,0.14%
8615-Tianjin Branch,Personal Sales,0.00%,0.15%,0.14%,0.10%,0.08%,0.07%,0.06%,0.06%,0.07%,0.08%,0.07%,0.10%,0.00%,0.04%,0.06%,0.06%,0.08%,0.07%,0.06%,0.07%,0.07%,0.07%,0.06%,0.06%,0.09%,0.09%,0.06%,0.07%,0.07%,0.10%,0.10%,0.10%,0.11%,0.13%,0.11%,0.11%,0.53%,0.53%,0.47%,0.40%,0.31%
