,,standard withdraw rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.1,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.1,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.1,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.1,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,total
860000,personal sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8601-Beijing Branch,personal sales,0.7432%,1.9500%,2.1987%,2.4953%,2.7419%,3.7082%,4.3709%,4.4162%,4.8145%,5.0082%,5.0419%,5.3861%,1.4094%,1.5841%,1.8920%,2.2940%,2.4407%,2.5388%,3.0628%,4.1326%,4.3086%,4.6674%,4.7612%,5.5106%,0.5350%,0.8657%,1.3215%,1.7950%,2.0893%,2.4968%,3.7008%,3.8018%,4.1509%,4.7849%,4.9080%,5.3163%,0.6410%,0.7553%,1.2403%,1.5609%,1.7796%,2.1561%,2.6287%,2.9722%,3.4206%,3.6182%,3.9523%,4.3100%,0.7698%,1.1204%,1.4412%,1.7355%,2.0928%,2.3726%,2.5952%,3.0087%,3.4641%,4.0415%,4.3579%,4.8062%,0.5682%,0.8714%,1.1225%,1.3737%,1.8784%,2.5567%
8602-Hunan Branch,personal sales,0.5617%,1.0047%,1.8233%,2.3319%,2.7402%,3.0590%,3.5201%,3.9288%,4.4455%,4.8823%,5.3124%,5.9222%,0.5066%,0.7461%,1.1911%,1.6488%,1.9665%,2.3134%,2.7073%,3.0831%,3.4936%,3.9978%,4.4544%,5.0104%,0.5159%,0.8148%,1.3902%,1.7693%,2.1384%,2.5952%,2.8933%,3.1811%,3.6777%,4.3148%,4.6841%,5.0253%,0.3593%,0.5864%,0.8562%,1.1335%,1.4657%,1.6884%,1.8795%,2.0761%,2.3005%,2.5857%,2.9014%,3.1854%,0.2754%,0.3940%,0.6369%,0.7977%,0.9859%,1.1747%,1.3087%,1.8275%,2.0430%,2.1770%,2.3779%,2.5850%,0.1708%,0.3725%,0.5293%,0.6712%,0.8225%,1.8122%
8603-Chongqing Branch,personal sales,0.2364%,0.4047%,0.9417%,1.1295%,1.3991%,1.6309%,1.8776%,2.2712%,2.5943%,2.9364%,3.2880%,3.8793%,0.5147%,0.8869%,1.2717%,1.6849%,2.0741%,2.2981%,2.5466%,2.8929%,3.2420%,3.5365%,3.8784%,4.3852%,0.4238%,0.6821%,1.0005%,1.2503%,1.5598%,2.0849%,2.3467%,2.5406%,2.8206%,3.0568%,3.3693%,3.8222%,0.3341%,0.5843%,0.9534%,1.1752%,1.3667%,1.6955%,1.9353%,2.1523%,2.3609%,2.7332%,2.9622%,3.3016%,0.2506%,0.4680%,0.8382%,1.0812%,1.2728%,1.5709%,1.7325%,1.9089%,2.1331%,2.2682%,2.4891%,2.7194%,0.2103%,0.3912%,0.6638%,0.8114%,0.9625%,1.6542%
8604-Shaanxi Branch,personal sales,0.5513%,1.2692%,2.2351%,2.9591%,3.6105%,4.1418%,4.8221%,5.3307%,5.9840%,6.2555%,6.8868%,7.4312%,1.1917%,1.5222%,2.2311%,2.9945%,3.5335%,4.0476%,4.5818%,4.9677%,5.5173%,5.9645%,6.6632%,7.2959%,0.7068%,1.1355%,1.7655%,2.3103%,2.8296%,3.2206%,3.5526%,4.0044%,4.3591%,4.6831%,5.0640%,5.4191%,0.5613%,1.1003%,1.5879%,1.9475%,2.2368%,2.5349%,2.8043%,3.0287%,3.2814%,3.5022%,3.8114%,4.0908%,0.3381%,0.4755%,0.7477%,0.9180%,1.3009%,1.5574%,1.7135%,1.9291%,2.1060%,2.3421%,2.5285%,2.9112%,0.3033%,0.7630%,1.0389%,1.1374%,1.3108%,2.4005%
8605-Guangdong Branch,personal sales,0.2614%,2.3671%,2.6958%,2.9290%,4.3654%,4.8463%,5.2768%,6.0499%,6.3015%,6.6158%,6.9318%,7.2599%,0.6278%,0.8524%,1.2131%,1.4650%,1.9669%,2.1898%,2.3872%,2.6496%,2.8728%,3.2397%,3.4672%,3.8645%,0.3582%,0.5437%,1.0264%,1.3149%,1.5292%,1.7337%,1.9822%,2.3289%,2.5926%,2.8500%,3.1639%,3.5472%,0.3117%,0.4982%,0.7616%,1.0121%,1.2350%,1.5714%,1.8074%,2.0539%,2.3523%,2.5460%,2.9029%,3.1911%,0.2470%,0.4234%,0.7610%,0.9432%,1.1380%,1.2461%,1.4465%,1.6420%,1.8807%,2.0816%,2.2724%,2.5987%,0.2781%,0.3814%,0.6478%,0.7758%,0.9250%,1.7331%
8606-Shandong Branch,personal sales,0.5270%,0.9335%,1.4799%,1.7737%,2.1520%,2.4888%,2.8594%,3.2254%,3.5366%,3.8570%,4.2310%,4.7369%,0.5721%,0.7609%,1.1635%,1.5148%,1.8069%,2.1449%,2.4825%,2.7912%,3.0284%,3.3426%,3.5367%,3.9064%,0.3342%,0.5316%,0.7643%,0.9877%,1.2228%,1.4762%,1.7221%,1.9030%,2.0751%,2.2589%,2.5435%,2.9120%,0.3099%,0.5266%,0.8012%,1.0336%,1.3431%,1.5565%,1.7147%,1.9122%,2.0981%,2.2821%,2.4871%,2.7796%,0.2345%,0.3555%,0.5765%,0.7525%,0.8884%,1.0578%,1.2109%,1.4641%,1.6684%,1.8157%,1.9702%,2.2088%,0.1850%,0.3118%,0.4761%,0.6086%,0.7321%,1.3887%
8607-Hubei Branch,personal sales,0.4146%,0.7336%,1.2210%,1.5301%,1.8638%,2.5507%,3.1795%,3.6856%,4.0790%,4.4220%,4.8957%,5.3305%,0.4836%,0.7145%,1.1572%,1.5247%,1.9284%,2.2270%,2.5693%,2.9509%,3.3780%,3.7804%,4.1565%,4.5256%,0.3724%,0.6715%,1.1636%,1.4991%,1.8036%,2.1571%,2.5317%,2.7708%,3.1191%,3.3642%,3.6511%,3.9643%,0.3345%,0.5551%,1.1243%,1.4079%,1.7829%,2.2278%,2.3451%,2.5565%,2.7817%,2.9622%,3.1333%,3.4248%,0.2109%,0.3427%,0.5275%,0.7381%,1.0428%,1.2113%,1.3522%,1.5303%,1.7370%,1.8407%,1.9758%,2.2014%,0.1260%,0.2599%,0.4359%,0.5895%,0.7694%,1.6336%
